Horas_Estudio,Asistencia,Involucración_Padres,Acceso_Recursos,Actividades_Extraescolares,Horas_Sueño,Puntuación_Anterior,Nivel_Motivación,Acceso_Internet,Tutorías,Ingreso_Familiar,Calidad_Profesorado,Tipo_Centro,Influencia_Compañeros,Actividad_Física,Problemas_Aprendizaje,Nivel_Educación_Padres,Distancia_Vivienda,Género,Puntuación,Niveles_Rendimiento,Niveles_Previos_Rto
23,69,Medio,Medio,Sí,6,58,Alto,Sí,0,Medio,Medio,Público,Neutral,1,No,Postgrado,Cercana,Mujer,65,2,1
20,79,Alto,Medio,Sí,7,83,Alto,Sí,2,Medio,Medio,Público,Positiva,2,No,Instituto,Moderada,Mujer,69,2,4
8,80,Alto,Bajo,No,6,52,Alto,Sí,2,Medio,Medio,Público,Positiva,1,No,Instituto,Cercana,Mujer,63,1,1
14,69,Medio,Medio,Sí,5,92,Alto,Sí,3,Bajo,Bajo,Público,Negativa,2,No,Postgrado,Moderada,Mujer,64,1,5
19,71,Alto,Alto,No,5,96,Alto,Sí,2,Bajo,Medio,Privado,Neutral,0,Sí,Universidad,Cercana,Mujer,67,2,5
13,67,Medio,Medio,Sí,6,80,Alto,Sí,1,Bajo,Alto,Público,Negativa,2,No,Instituto,Moderada,Hombre,62,1,4
24,89,Medio,Bajo,Sí,6,94,Bajo,Sí,2,Medio,Medio,Público,Neutral,2,No,Instituto,Lejana,Hombre,68,2,5
29,91,Medio,Alto,No,5,54,Bajo,Sí,2,Bajo,Medio,Público,Neutral,3,No,Postgrado,Moderada,Hombre,71,2,1
27,78,Alto,Medio,No,7,61,Medio,No,1,Bajo,Medio,Público,Negativa,3,No,Instituto,Moderada,Mujer,66,2,2
19,89,Medio,Alto,Sí,4,66,Bajo,Sí,1,Bajo,Medio,Público,Positiva,1,No,Postgrado,Cercana,Mujer,69,2,2
29,89,Medio,Bajo,Sí,8,89,Bajo,Sí,1,Medio,Alto,Privado,Neutral,4,No,Instituto,Moderada,Hombre,71,2,4
21,66,Medio,Medio,Sí,6,74,Medio,Sí,2,Medio,Alto,Privado,Neutral,4,No,Instituto,Cercana,Mujer,66,2,3
18,99,Medio,Medio,No,6,67,Medio,Sí,5,Bajo,Medio,Público,Positiva,3,No,Postgrado,Cercana,Mujer,72,2,2
16,93,Medio,Medio,Sí,8,58,Medio,Sí,1,Alto,Alto,Público,Positiva,4,No,Universidad,Cercana,Mujer,70,2,1
18,68,Bajo,Medio,No,8,91,Alto,Sí,1,Bajo,Alto,Privado,Neutral,3,No,Postgrado,Cercana,Mujer,65,2,5
18,67,Alto,Medio,No,6,51,Medio,Sí,0,Medio,Alto,Público,Positiva,2,No,Universidad,Cercana,Mujer,64,1,1
21,65,Medio,Medio,Sí,8,67,Medio,Sí,1,Bajo,Medio,Público,Positiva,2,No,Universidad,Moderada,Hombre,63,1,2
21,66,Medio,Medio,No,9,62,Bajo,No,3,Medio,Medio,Privado,Positiva,2,No,Instituto,Cercana,Hombre,63,1,2
20,90,Bajo,Medio,No,5,56,Medio,No,3,Medio,Medio,Público,Positiva,2,No,Instituto,Moderada,Hombre,66,2,1
23,79,Alto,Alto,Sí,8,59,Bajo,Sí,1,Bajo,Alto,Público,Negativa,4,No,Universidad,Moderada,Hombre,68,2,1
27,91,Medio,Alto,Sí,5,75,Bajo,Sí,1,Alto,Alto,Público,Neutral,4,No,Universidad,Cercana,Hombre,74,3,3
26,90,Alto,Alto,No,9,71,Bajo,Sí,0,Alto,Bajo,Privado,Negativa,2,No,Universidad,Cercana,Mujer,71,2,3
11,84,Alto,Medio,Sí,6,76,Alto,Sí,3,Bajo,Alto,Público,Negativa,3,No,Instituto,Moderada,Mujer,67,2,3
5,87,Alto,Bajo,No,6,86,Medio,Sí,2,Medio,Alto,Público,Positiva,3,No,Postgrado,Cercana,Mujer,66,2,4
26,61,Alto,Medio,Sí,9,95,Medio,Sí,0,Medio,Medio,Privado,Negativa,6,No,Universidad,Cercana,Hombre,67,2,5
12,72,Bajo,Alto,Sí,8,56,Alto,Sí,3,Bajo,Medio,Público,Positiva,1,Sí,Instituto,Moderada,Hombre,62,1,1
19,86,Medio,Bajo,No,6,54,Bajo,Sí,1,Alto,Alto,Privado,Positiva,5,No,Postgrado,Cercana,Hombre,68,2,1
13,60,Medio,Medio,Sí,7,66,Medio,Sí,2,Bajo,Medio,Público,Positiva,3,No,Postgrado,Cercana,Hombre,62,1,2
9,61,Alto,Medio,Sí,6,77,Bajo,No,1,Alto,Medio,Privado,Neutral,2,No,Instituto,Cercana,Hombre,82,3,3
23,94,Alto,Medio,No,5,55,Alto,Sí,2,Medio,Medio,Público,Positiva,2,Sí,Instituto,Cercana,Hombre,70,2,1
25,87,Alto,Medio,No,7,86,Medio,Sí,4,Medio,Bajo,Privado,Negativa,2,No,Universidad,Cercana,Hombre,72,2,4
17,71,Bajo,Alto,Sí,6,78,Bajo,Sí,0,Medio,Medio,Público,Positiva,4,No,Universidad,Cercana,Mujer,64,1,3
4,88,Medio,Alto,No,6,87,Bajo,Sí,1,Medio,Alto,Público,Neutral,4,No,Universidad,Cercana,Hombre,66,2,4
17,92,Medio,Medio,Sí,9,68,Alto,Sí,0,Medio,Bajo,Privado,Positiva,3,No,Universidad,Cercana,Mujer,68,2,2
22,72,Bajo,Medio,No,6,70,Bajo,Sí,1,Alto,Medio,Público,Neutral,3,No,Postgrado,Lejana,Hombre,64,1,2
11,61,Bajo,Medio,Sí,7,90,Alto,Sí,0,Medio,Alto,Público,Neutral,3,No,Instituto,Cercana,Mujer,61,1,5
21,97,Medio,Medio,Sí,9,63,Medio,Sí,0,Medio,Medio,Público,Positiva,1,No,Instituto,Moderada,Hombre,69,2,2
20,74,Alto,Alto,No,7,69,Bajo,Sí,2,Alto,Alto,Privado,Neutral,2,No,Universidad,Cercana,Hombre,68,2,2
23,64,Medio,Medio,No,6,51,Medio,Sí,1,Medio,Medio,Público,Positiva,5,No,Universidad,Cercana,Hombre,64,1,1
21,80,Medio,Alto,No,7,78,Medio,Sí,1,Bajo,Alto,Privado,Negativa,4,No,Instituto,Moderada,Mujer,67,2,3
14,91,Medio,Medio,Sí,8,93,Medio,Sí,0,Medio,Medio,Público,Neutral,3,No,Instituto,Moderada,Hombre,67,2,5
27,69,Medio,Medio,No,8,51,Medio,Sí,1,Alto,Medio,Público,Negativa,2,No,Instituto,Cercana,Hombre,65,2,1
19,71,Alto,Medio,Sí,10,81,Medio,Sí,2,Medio,Alto,Público,Positiva,3,No,Instituto,Cercana,Mujer,68,2,4
20,70,Medio,Alto,Sí,6,92,Medio,Sí,2,Medio,Bajo,Público,Positiva,3,No,Instituto,Cercana,Hombre,67,2,5
14,100,Bajo,Medio,No,7,75,Bajo,Sí,1,Bajo,Medio,Público,Positiva,3,No,Postgrado,Moderada,Hombre,67,2,3
17,68,Medio,Alto,Sí,5,66,Medio,Sí,1,Alto,Medio,Público,Negativa,4,No,Instituto,Cercana,Hombre,64,1,2
15,83,Alto,Alto,Sí,8,100,Medio,Sí,0,Medio,Medio,Público,Positiva,3,No,Universidad,Cercana,Mujer,70,2,5
19,97,Medio,Alto,No,7,53,Medio,Sí,2,Bajo,Bajo,Privado,Neutral,3,No,Universidad,Moderada,Hombre,69,2,1
30,66,Medio,Alto,No,7,61,Bajo,Sí,0,Alto,Alto,Privado,Positiva,2,No,Instituto,Lejana,Hombre,66,2,2
12,99,Bajo,Medio,No,6,94,Medio,Sí,2,Medio,Medio,Público,Neutral,3,No,Postgrado,Moderada,Hombre,69,2,5
10,98,Bajo,Medio,Sí,6,65,Medio,Sí,1,Bajo,Alto,Privado,Positiva,2,No,Instituto,Cercana,Hombre,66,2,2
29,95,Alto,Medio,Sí,7,91,Bajo,Sí,1,Bajo,Medio,Público,Neutral,3,No,Instituto,Moderada,Mujer,73,2,5
19,69,Medio,Medio,Sí,6,67,Medio,No,4,Alto,Alto,Privado,Positiva,4,No,Postgrado,Moderada,Hombre,66,2,2
16,85,Medio,Alto,Sí,7,91,Alto,Sí,0,Medio,Medio,Público,Neutral,2,No,Postgrado,Moderada,Hombre,69,2,5
26,90,Medio,Bajo,Sí,7,84,Bajo,Sí,1,Medio,Medio,Público,Positiva,3,No,Instituto,Moderada,Hombre,70,2,4
16,99,Alto,Medio,Sí,5,73,Alto,Sí,1,Medio,Medio,Privado,Positiva,5,Sí,Universidad,Lejana,Hombre,71,2,3
31,67,Bajo,Alto,Sí,5,76,Medio,Sí,2,Medio,Alto,Público,Positiva,4,No,Universidad,Cercana,Hombre,70,2,3
24,91,Alto,Bajo,Sí,6,59,Medio,Sí,0,Bajo,Medio,Privado,Neutral,4,No,Instituto,Cercana,Hombre,69,2,1
17,74,Medio,Medio,No,9,56,Medio,Sí,1,Medio,Alto,Privado,Negativa,3,No,Instituto,Moderada,Hombre,63,1,1
33,67,Alto,Medio,Sí,6,86,Medio,Sí,4,Medio,Alto,Público,Positiva,3,Sí,Instituto,Cercana,Mujer,71,2,4
16,77,Alto,Alto,No,7,92,Bajo,Sí,2,Medio,Medio,Público,Negativa,2,No,Universidad,Cercana,Hombre,67,2,5
24,92,Medio,Medio,Sí,5,86,Alto,Sí,3,Medio,Alto,Público,Neutral,2,No,Instituto,Cercana,Mujer,73,2,4
22,79,Bajo,Alto,Sí,6,96,Medio,Sí,1,Alto,Medio,Público,Neutral,2,No,Universidad,Moderada,Hombre,68,2,5
28,82,Bajo,Medio,Sí,5,95,Medio,Sí,0,Alto,Bajo,Público,Neutral,3,No,Instituto,Cercana,Hombre,69,2,5
29,100,Alto,Alto,Sí,8,89,Medio,Sí,2,Medio,Medio,Privado,Neutral,3,No,Instituto,Moderada,Mujer,76,3,4
20,76,Bajo,Medio,Sí,5,95,Medio,Sí,4,Bajo,Alto,Público,Positiva,3,No,Instituto,Cercana,Hombre,68,2,5
15,85,Medio,Medio,No,8,58,Alto,Sí,1,Bajo,Medio,Privado,Negativa,3,No,Universidad,Cercana,Hombre,65,2,1
23,75,Medio,Medio,Sí,8,87,Bajo,Sí,0,Alto,Bajo,Público,Positiva,1,No,Instituto,Cercana,Mujer,66,2,4
16,76,Medio,Bajo,No,7,88,Alto,Sí,0,Bajo,Medio,Público,Positiva,2,No,Postgrado,Cercana,Hombre,65,2,4
32,88,Bajo,Medio,No,8,58,Bajo,Sí,3,Bajo,Alto,Privado,Negativa,3,No,Instituto,Moderada,Hombre,69,2,1
21,98,Alto,Medio,Sí,10,95,Medio,Sí,0,Medio,Medio,Público,Neutral,1,No,Instituto,Cercana,Hombre,71,2,5
18,82,Alto,Bajo,Sí,8,50,Medio,Sí,1,Alto,Medio,Público,Positiva,3,No,Instituto,Moderada,Hombre,66,2,1
21,91,Medio,Alto,No,5,72,Medio,Sí,3,Bajo,Medio,Público,Negativa,3,Sí,Instituto,Cercana,Mujer,69,2,3
12,64,Medio,Medio,No,9,51,Bajo,No,2,Bajo,Medio,Público,Neutral,4,No,Universidad,Cercana,Hombre,59,1,1
14,68,Medio,Alto,No,7,76,Medio,Sí,2,Alto,Medio,Público,Positiva,3,No,Instituto,Cercana,Hombre,65,2,3
27,80,Alto,Alto,No,10,71,Alto,Sí,4,Bajo,Bajo,Público,Neutral,2,No,Universidad,Cercana,Hombre,72,2,3
16,61,Medio,Bajo,Sí,6,81,Medio,Sí,0,Medio,Medio,Público,Negativa,2,No,Universidad,Cercana,Hombre,60,1,4
14,70,Medio,Medio,Sí,9,88,Bajo,Sí,0,Alto,Medio,Privado,Positiva,4,No,Universidad,Moderada,Mujer,64,1,4
23,81,Medio,Medio,No,7,88,Bajo,Sí,1,Bajo,Medio,Público,Positiva,4,No,Postgrado,Cercana,Hombre,69,2,4
27,61,Alto,Alto,Sí,10,86,Medio,Sí,3,Medio,Alto,Privado,Positiva,3,No,Instituto,Cercana,Mujer,70,2,4
24,71,Medio,Alto,Sí,7,55,Bajo,Sí,2,Alto,Medio,Público,Positiva,3,No,Universidad,Lejana,Hombre,67,2,1
26,81,Medio,Medio,No,10,71,Bajo,Sí,0,Medio,Medio,Privado,Positiva,5,Sí,Instituto,Cercana,Mujer,67,2,3
15,83,Medio,Bajo,Sí,8,91,Medio,Sí,0,Bajo,Medio,Privado,Neutral,3,No,Universidad,Lejana,Hombre,64,1,5
11,97,Medio,Medio,Sí,8,83,Bajo,Sí,4,Medio,Alto,Privado,Negativa,2,No,Instituto,Lejana,Hombre,68,2,4
29,86,Medio,Alto,No,10,84,Bajo,Sí,1,Bajo,Alto,Privado,Positiva,4,No,Instituto,Cercana,Mujer,72,2,4
18,77,Medio,Alto,Sí,6,61,Medio,Sí,1,Bajo,Medio,Privado,Neutral,3,No,Instituto,Cercana,Mujer,65,2,2
18,97,Medio,Alto,No,8,66,Bajo,Sí,2,Medio,Medio,Público,Neutral,2,No,Universidad,Moderada,Hombre,70,2,2
28,91,Alto,Medio,No,7,98,Bajo,Sí,2,Bajo,Medio,Privado,Positiva,5,No,Postgrado,Cercana,Hombre,75,3,5
23,68,Bajo,Bajo,Sí,7,92,Medio,No,3,Bajo,Alto,Privado,Neutral,4,No,Instituto,Cercana,Hombre,65,2,5
23,65,Medio,Alto,Sí,7,58,Bajo,Sí,1,Bajo,Medio,Público,Neutral,3,Sí,Universidad,Moderada,Mujer,63,1,1
33,87,Medio,Alto,No,8,77,Bajo,Sí,0,Bajo,Medio,Privado,Positiva,3,Sí,Instituto,Cercana,Hombre,71,2,3
16,82,Medio,Bajo,Sí,8,75,Medio,Sí,2,Medio,Medio,Público,Positiva,2,No,Universidad,Cercana,Mujer,66,2,3
26,92,Medio,Bajo,Sí,6,72,Medio,Sí,1,Bajo,Medio,Privado,Neutral,3,No,Instituto,Moderada,Mujer,69,2,3
20,90,Alto,Medio,No,7,74,Bajo,No,0,Alto,Bajo,Privado,Positiva,3,No,Postgrado,Moderada,Mujer,68,2,3
22,85,Medio,Alto,No,4,82,Medio,Sí,1,Medio,Alto,Público,Positiva,2,No,Postgrado,Cercana,Hombre,71,2,4
29,99,Alto,Medio,Sí,8,98,Alto,No,5,Bajo,Bajo,Público,Neutral,2,No,Postgrado,Cercana,Hombre,77,3,5
23,81,Alto,Bajo,Sí,10,94,Alto,Sí,1,Medio,Alto,Público,Neutral,2,No,Universidad,Cercana,Mujer,70,2,5
23,65,Medio,Medio,No,7,94,Medio,Sí,1,Alto,Medio,Público,Negativa,3,No,Universidad,Cercana,Mujer,66,2,5
26,93,Alto,Medio,No,5,85,Bajo,Sí,1,Alto,Alto,Público,Positiva,3,No,Universidad,Moderada,Mujer,73,2,4
18,70,Medio,Medio,Sí,8,51,Medio,Sí,1,Bajo,Medio,Privado,Negativa,3,No,Universidad,Moderada,Hombre,62,1,1
15,91,Medio,Medio,No,6,72,Bajo,Sí,0,Medio,Medio,Público,Neutral,2,No,Instituto,Moderada,Mujer,65,2,3
14,98,Alto,Alto,Sí,7,76,Medio,Sí,0,Bajo,Medio,Público,Neutral,2,No,Postgrado,Cercana,Hombre,71,2,3
8,88,Medio,Medio,Sí,8,92,Alto,Sí,1,Bajo,Medio,Público,Negativa,4,No,Universidad,Cercana,Hombre,66,2,5
32,84,Bajo,Medio,Sí,8,96,Medio,Sí,1,Bajo,Medio,Público,Positiva,3,No,Instituto,Cercana,Mujer,72,2,5
13,78,Medio,Medio,Sí,9,73,Medio,Sí,0,Medio,Alto,Privado,Negativa,4,No,Instituto,Cercana,Hombre,64,1,3
19,75,Medio,Medio,No,7,65,Bajo,Sí,0,Bajo,Bajo,Privado,Neutral,4,No,Instituto,Cercana,Mujer,63,1,2
18,74,Bajo,Medio,Sí,7,67,Bajo,Sí,0,Bajo,Medio,Público,Positiva,3,No,Instituto,Cercana,Hombre,63,1,2
22,85,Alto,Medio,No,8,79,Alto,Sí,5,Medio,Alto,Público,Neutral,2,No,Instituto,Cercana,Mujer,72,2,3
25,90,Medio,Medio,Sí,7,64,Medio,Sí,2,Medio,Alto,Público,Positiva,2,No,Instituto,Moderada,Hombre,71,2,2
25,87,Alto,Alto,Sí,6,96,Bajo,No,3,Medio,Medio,Público,Positiva,2,No,Instituto,Moderada,Mujer,72,2,5
17,68,Medio,Alto,Sí,8,71,Medio,Sí,1,Medio,Alto,Privado,Neutral,2,No,Instituto,Cercana,Hombre,65,2,3
19,80,Medio,Medio,Sí,5,100,Medio,Sí,0,Medio,Medio,Público,Neutral,3,No,Instituto,Cercana,Mujer,67,2,5
22,92,Bajo,Alto,Sí,7,55,Bajo,Sí,1,Bajo,Medio,Público,Positiva,4,No,Instituto,Moderada,Mujer,68,2,1
19,79,Medio,Alto,Sí,5,59,Medio,Sí,2,Bajo,Medio,Privado,Neutral,2,No,Postgrado,Lejana,Hombre,66,2,1
30,81,Medio,Alto,No,6,76,Medio,Sí,0,Alto,Medio,Público,Positiva,3,No,Postgrado,Cercana,Hombre,72,2,3
23,91,Alto,Medio,No,6,93,Medio,Sí,3,Bajo,Bajo,Público,Neutral,3,No,Instituto,Moderada,Mujer,71,2,5
24,86,Medio,Alto,No,6,68,Bajo,Sí,3,Bajo,Alto,Público,Positiva,3,Sí,Universidad,Moderada,Mujer,70,2,2
24,76,Medio,Medio,No,9,92,Medio,Sí,1,Medio,Bajo,Público,Neutral,3,No,Postgrado,Cercana,Mujer,68,2,5
27,96,Medio,Alto,No,9,71,Bajo,Sí,0,Bajo,Medio,Privado,Positiva,4,No,Universidad,Cercana,Mujer,72,2,3
21,67,Bajo,Medio,Sí,9,93,Alto,Sí,1,Bajo,Alto,Público,Neutral,3,No,Universidad,Cercana,Hombre,66,2,5
12,100,Medio,Medio,No,7,64,Medio,Sí,1,Medio,Alto,Público,Positiva,6,No,Instituto,Cercana,Hombre,69,2,2
22,65,Bajo,Medio,Sí,6,74,Alto,Sí,2,Medio,Medio,Público,Positiva,1,No,Universidad,Cercana,Hombre,65,2,3
16,61,Alto,Alto,No,8,64,Medio,Sí,1,Bajo,Alto,Público,Positiva,3,No,Instituto,Lejana,Hombre,62,1,2
17,96,Alto,Alto,No,7,61,Bajo,Sí,1,Bajo,Alto,Público,Positiva,1,No,Universidad,Moderada,Mujer,69,2,2
24,70,Medio,Medio,Sí,7,71,Medio,Sí,1,Medio,Bajo,Público,Negativa,4,No,Instituto,Cercana,Hombre,65,2,3
27,89,Medio,Bajo,No,4,67,Medio,Sí,2,Bajo,Bajo,Privado,Neutral,4,No,Universidad,Cercana,Mujer,69,2,2
20,92,Bajo,Alto,Sí,8,89,Medio,Sí,1,Bajo,Medio,Público,Neutral,3,No,Instituto,Moderada,Mujer,69,2,4
22,94,Alto,Medio,Sí,8,87,Medio,Sí,2,Bajo,Medio,Privado,Neutral,5,No,Universidad,Cercana,Mujer,73,2,4
30,100,Alto,Medio,Sí,7,68,Bajo,Sí,2,Medio,Medio,Privado,Neutral,2,No,Postgrado,Cercana,Mujer,75,3,2
21,72,Alto,Alto,Sí,8,100,Medio,Sí,3,Bajo,Alto,Privado,Positiva,3,No,Universidad,Lejana,Hombre,70,2,5
36,88,Medio,Alto,No,8,99,Alto,Sí,0,Bajo,Medio,Privado,Negativa,3,No,Universidad,Cercana,Mujer,74,3,5
23,65,Medio,Medio,Sí,6,96,Medio,Sí,0,Bajo,Bajo,Público,Positiva,3,No,Instituto,Cercana,Hombre,65,2,5
9,76,Medio,Medio,No,7,79,Medio,Sí,1,Medio,Medio,Público,Negativa,3,No,Universidad,Cercana,Hombre,63,1,3
25,94,Alto,Alto,No,5,71,Bajo,Sí,4,Medio,Alto,Público,Negativa,4,No,Universidad,Cercana,Mujer,74,3,3
22,75,Alto,Alto,Sí,9,66,Bajo,Sí,0,Bajo,Medio,Privado,Neutral,2,No,Postgrado,Cercana,Hombre,67,2,2
28,84,Medio,Medio,Sí,8,51,Medio,No,3,Medio,Medio,Público,Positiva,4,No,Postgrado,Cercana,Mujer,71,2,1
24,80,Alto,Bajo,Sí,6,82,Medio,Sí,1,Bajo,Alto,Público,Neutral,3,No,Universidad,Moderada,Mujer,68,2,4
19,86,Alto,Medio,No,8,78,Medio,Sí,2,Medio,Medio,Público,Negativa,4,No,Universidad,Cercana,Mujer,69,2,3
13,99,Medio,Alto,No,7,81,Medio,Sí,0,Medio,Medio,Público,Positiva,4,No,Postgrado,Cercana,Hombre,71,2,4
19,62,Alto,Medio,Sí,6,79,Bajo,Sí,7,Medio,Medio,Público,Neutral,2,No,Instituto,Cercana,Mujer,66,2,3
15,83,Medio,Medio,Sí,7,57,Bajo,Sí,0,Medio,Medio,Privado,Positiva,3,No,Postgrado,Cercana,Hombre,65,2,1
17,95,Medio,Bajo,Sí,8,85,Bajo,No,1,Bajo,Alto,Privado,Negativa,2,No,Universidad,Moderada,Mujer,66,2,4
24,79,Bajo,Bajo,Sí,8,68,Alto,Sí,2,Bajo,Medio,Privado,Negativa,2,No,Instituto,Cercana,Hombre,65,2,2
30,63,Medio,Medio,No,10,76,Medio,Sí,1,Medio,Medio,Público,Neutral,4,No,Postgrado,Moderada,Mujer,67,2,3
22,82,Alto,Medio,No,7,68,Alto,Sí,2,Bajo,Medio,Privado,Neutral,4,No,Postgrado,Cercana,Hombre,70,2,2
13,73,Medio,Medio,Sí,7,51,Medio,Sí,1,Bajo,Medio,Público,Positiva,4,No,Postgrado,Cercana,Hombre,63,1,1
23,66,Bajo,Bajo,No,8,94,Bajo,Sí,1,Medio,Alto,Privado,Neutral,3,No,Postgrado,Moderada,Hombre,64,1,5
27,94,Medio,Medio,Sí,7,57,Medio,Sí,1,Medio,Medio,Privado,Neutral,1,No,Instituto,Cercana,Hombre,71,2,1
16,81,Medio,Alto,Sí,6,79,Medio,Sí,2,Bajo,Alto,Público,Positiva,3,No,Universidad,Moderada,Mujer,68,2,3
19,97,Medio,Bajo,No,6,94,Medio,Sí,2,Alto,Medio,Público,Neutral,4,No,Postgrado,Cercana,Hombre,72,2,5
20,92,Medio,Alto,Sí,4,61,Medio,Sí,2,Alto,Medio,Público,Neutral,4,No,Universidad,Cercana,Hombre,71,2,2
15,88,Bajo,Bajo,Sí,8,71,Medio,No,1,Bajo,Bajo,Privado,Positiva,2,No,Postgrado,Moderada,Hombre,64,1,3
24,60,Alto,Bajo,Sí,5,69,Medio,Sí,1,Medio,Alto,Público,Neutral,5,No,Instituto,Moderada,Hombre,64,1,2
19,77,Alto,Medio,Sí,6,54,Bajo,Sí,3,Alto,Medio,Privado,Negativa,2,No,Universidad,Moderada,Hombre,66,2,1
23,68,Medio,Alto,Sí,7,71,Alto,Sí,3,Medio,Medio,Público,Positiva,3,No,Instituto,Moderada,Mujer,68,2,3
15,96,Alto,Medio,No,7,74,Medio,Sí,2,Bajo,Bajo,Privado,Positiva,2,No,Instituto,Lejana,Hombre,68,2,3
17,67,Alto,Medio,Sí,10,51,Medio,Sí,3,Bajo,Medio,Público,Positiva,5,No,Instituto,Cercana,Hombre,65,2,1
24,71,Medio,Medio,Sí,5,74,Medio,Sí,1,Medio,Medio,Privado,Positiva,3,No,Instituto,Cercana,Hombre,67,2,3
18,81,Medio,Bajo,Sí,10,55,Bajo,Sí,3,Bajo,Medio,Público,Negativa,2,No,Instituto,Cercana,Hombre,64,1,1
30,71,Alto,Medio,Sí,9,95,Alto,No,1,Medio,Medio,Público,Neutral,4,No,Universidad,Cercana,Hombre,70,2,5
18,68,Medio,Alto,Sí,8,83,Bajo,Sí,1,Bajo,Medio,Público,Positiva,2,No,Universidad,Cercana,Hombre,65,2,4
21,84,Medio,Bajo,No,9,53,Bajo,Sí,2,Medio,Alto,Público,Negativa,3,No,Instituto,Moderada,Mujer,65,2,1
26,64,Alto,Medio,No,8,91,Alto,Sí,1,Medio,Medio,Público,Positiva,4,No,Instituto,Cercana,Hombre,68,2,5
11,62,Medio,Alto,Sí,4,68,Medio,Sí,2,Alto,Medio,Público,Negativa,3,No,Instituto,Moderada,Hombre,61,1,2
9,75,Alto,Bajo,No,8,61,Alto,Sí,3,Medio,Medio,Público,Neutral,3,No,Instituto,Cercana,Hombre,63,1,2
11,89,Medio,Medio,Sí,5,63,Medio,Sí,0,Medio,Medio,Público,Neutral,2,No,Universidad,Cercana,Mujer,65,2,2
28,82,Medio,Medio,Sí,6,80,Medio,Sí,1,Bajo,Medio,Privado,Neutral,5,No,Instituto,Lejana,Mujer,69,2,4
17,77,Medio,Medio,No,7,54,Bajo,Sí,1,Bajo,Alto,Público,Positiva,2,No,Universidad,Cercana,Hombre,64,1,1
35,83,Medio,Bajo,No,6,53,Medio,Sí,1,Bajo,Medio,Privado,Neutral,2,No,Instituto,Cercana,Mujer,69,2,1
17,75,Alto,Medio,Sí,8,81,Bajo,Sí,3,Alto,Medio,Público,Neutral,3,Sí,Postgrado,Cercana,Hombre,67,2,4
21,97,Medio,Alto,Sí,7,99,Alto,Sí,1,Medio,Alto,Público,Neutral,1,No,Postgrado,Moderada,Hombre,74,3,5
29,62,Alto,Medio,Sí,8,74,Medio,Sí,1,Bajo,Medio,Privado,Negativa,3,Sí,Universidad,Cercana,Hombre,66,2,3
32,87,Medio,Alto,Sí,7,71,Medio,Sí,0,Alto,Bajo,Público,Neutral,4,Sí,Universidad,Cercana,Hombre,72,2,3
32,96,Medio,Bajo,Sí,7,97,Bajo,Sí,1,Bajo,Medio,Público,Neutral,5,No,Universidad,Moderada,Hombre,73,2,5
27,92,Alto,Medio,No,6,62,Alto,Sí,0,Medio,Alto,Público,Positiva,4,No,Universidad,Cercana,Hombre,73,2,2
26,67,Bajo,Medio,Sí,5,62,Alto,Sí,0,Medio,Medio,Público,Negativa,2,No,Instituto,Moderada,Hombre,63,1,2
24,72,Alto,Medio,Sí,7,95,Medio,Sí,3,Bajo,Medio,Público,Negativa,2,No,Postgrado,Cercana,Hombre,69,2,5
25,89,Bajo,Bajo,Sí,6,82,Alto,Sí,2,Bajo,Medio,Público,Neutral,6,No,Postgrado,Cercana,Hombre,71,2,4
17,63,Alto,Medio,No,9,53,Alto,Sí,1,Bajo,Alto,Público,Neutral,4,No,Universidad,Moderada,Hombre,63,1,1
15,92,Medio,Alto,Sí,5,84,Medio,Sí,0,Alto,Bajo,Público,Positiva,5,No,Instituto,Moderada,Mujer,69,2,4
20,89,Alto,Alto,Sí,10,91,Bajo,Sí,3,Medio,Medio,Privado,Neutral,3,No,Universidad,Moderada,Hombre,72,2,5
19,89,Alto,Bajo,Sí,7,64,Medio,Sí,2,Bajo,Medio,Público,Positiva,4,Sí,Postgrado,Moderada,Mujer,68,2,2
17,64,Bajo,Alto,No,7,69,Medio,Sí,1,Medio,Medio,Público,Negativa,3,No,Instituto,Cercana,Mujer,62,1,2
24,89,Bajo,Alto,Sí,6,60,Medio,Sí,1,Bajo,Medio,Privado,Neutral,2,No,Instituto,Cercana,Hombre,68,2,1
26,87,Medio,Medio,Sí,8,82,Alto,Sí,1,Bajo,Medio,Público,Negativa,2,No,Postgrado,Cercana,Hombre,71,2,4
21,93,Medio,Bajo,Sí,7,83,Bajo,No,1,Alto,Alto,Público,Neutral,3,Sí,Instituto,Moderada,Hombre,67,2,4
29,62,Bajo,Alto,Sí,7,53,Alto,Sí,0,Bajo,Medio,Privado,Positiva,3,No,Universidad,Moderada,Mujer,65,2,1
13,61,Bajo,Medio,Sí,8,84,Alto,No,1,Medio,Alto,Público,Neutral,3,Sí,Postgrado,Lejana,Hombre,60,1,4
19,75,Medio,Alto,Sí,8,83,Alto,Sí,2,Alto,Medio,Público,Neutral,2,No,Instituto,Cercana,Hombre,68,2,4
16,66,Bajo,Medio,Sí,9,52,Medio,Sí,1,Medio,Bajo,Público,Negativa,3,Sí,Instituto,Cercana,Hombre,59,1,1
9,82,Alto,Medio,No,8,78,Medio,Sí,0,Alto,Medio,Público,Neutral,0,No,Instituto,Moderada,Mujer,64,1,3
