id,Education_Level,Age_Group,Gender,Race,Offense_Type,Criminal_History_Category,Sentence_Length_months,Probation,Below_Guideline,Trial
1109,High School,55+,M,Black,Drug Trafficking,I,75,0,0,0
1110,Less than HS,≤34,M,White,Robbery,I,67,0,0,0
1111,High School,≤34,M,White,Fraud,I,63,0,1,0
1112,High School,35-44,M,Hispanic,Immigration,I,54,0,0,0
1113,High School,35-44,M,Hispanic,Fraud,III,85,0,1,0
1114,Less than HS,35-44,M,Hispanic,Firearms,V,54,0,1,0
1115,Undergraduate Degree,45-54,M,Other,Money Laundering,III,46,0,1,0
1116,High School,45-54,M,Hispanic,Firearms,VI,58,0,1,0
1117,High School,55+,M,Hispanic,Fraud,II,61,0,1,0
1118,Less than HS,≤34,M,Black,Drug Trafficking,V,70,0,0,0
1119,High School,55+,M,White,Fraud,I,87,0,1,0
1120,High School,35-44,M,Black,Immigration,I,63,0,0,0
1121,Less than HS,35-44,M,Hispanic,Firearms,IV,36,0,1,0
1122,Undergraduate Degree,55+,M,Other,Sexual Abuse,I,35,0,1,0
1123,High School,45-54,M,Hispanic,Fraud,IV,57,1,0,0
1124,High School,35-44,M,Black,Immigration,VI,78,0,1,0
1125,Undergraduate Degree,55+,F,Black,Money Laundering,I,33,0,1,0
1126,Undergraduate Degree,35-44,M,Black,Child Pornography,I,50,0,1,0
1127,High School,55+,M,Black,Firearms,V,71,0,0,0
1128,High School,45-54,M,White,Fraud,I,52,0,0,0
1129,High School,45-54,M,White,Firearms,IV,70,0,0,0
1130,High School,≤34,M,White,Fraud,VI,75,0,0,0
1131,High School,45-54,M,Hispanic,Fraud,II,24,0,1,0
1132,Some College,45-54,M,White,Firearms,I,32,0,0,0
1133,High School,55+,M,Other,Fraud,III,75,0,1,0
1134,Less than HS,≤34,M,White,Firearms,II,58,0,1,0
1135,High School,≤34,M,White,Firearms,II,82,1,0,0
1136,Less than HS,≤34,M,Black,Fraud,IV,40,0,1,0
1137,Less than HS,≤34,M,Black,Robbery,I,59,0,1,0
1138,Some College,45-54,M,Other,Drug Trafficking,II,6,0,1,0
1139,High School,55+,M,Other,Drug Trafficking,V,77,0,1,0
1140,Less than HS,35-44,M,Black,Drug Trafficking,IV,49,0,1,0
1141,High School,≤34,M,White,Immigration,VI,92,0,1,0
1142,Less than HS,35-44,M,Black,Firearms,II,49,0,1,0
1143,High School,35-44,M,White,Firearms,I,49,0,1,0
1144,Less than HS,≤34,M,White,Drug Trafficking,II,76,1,0,0
1145,High School,55+,M,White,Fraud,III,86,0,1,0
1146,Some College,55+,M,Black,Drug Trafficking,I,67,0,1,0
1147,Some College,45-54,M,Black,Fraud,VI,54,0,1,0
1148,Undergraduate Degree,≤34,M,Black,Child Pornography,I,44,0,1,0
1149,High School,55+,M,Other,Drug Trafficking,V,78,0,1,0
1150,Less than HS,≤34,M,Hispanic,Fraud,IV,47,0,1,0
1151,Graduate Degree,35-44,F,White,Child Pornography,I,70,0,1,1
1152,High School,35-44,M,Other,Immigration,I,56,0,0,1
1153,High School,55+,M,White,Drug Trafficking,I,50,0,1,0
1154,High School,45-54,F,Black,Drug Trafficking,IV,75,0,1,0
1155,Undergraduate Degree,45-54,M,Black,Money Laundering,I,52,0,1,0
1156,Less than HS,≤34,M,Black,Immigration,IV,59,0,1,0
1157,Undergraduate Degree,45-54,M,White,Money Laundering,VI,45,0,1,0
1158,Less than HS,35-44,M,Hispanic,Firearms,I,42,0,1,0
1159,Less than HS,45-54,M,Black,Immigration,VI,32,0,1,0
1160,Some College,45-54,M,White,Fraud,I,47,0,1,0
1161,Less than HS,≤34,M,White,Fraud,VI,64,0,0,0
1162,High School,≤34,M,Other,Firearms,VI,67,0,1,0
1163,High School,45-54,F,Black,Firearms,I,65,0,0,0
1164,High School,55+,F,Black,Fraud,III,70,0,1,0
1165,Some College,45-54,M,Hispanic,Child Pornography,I,53,0,1,0
1166,High School,55+,F,Hispanic,Fraud,III,64,0,1,0
1167,High School,45-54,M,Black,Drug Trafficking,II,77,0,1,0
1168,High School,55+,M,Black,Firearms,V,64,0,1,0
1169,Some College,35-44,F,Black,Immigration,I,62,0,0,0
1170,High School,35-44,M,White,Firearms,V,43,0,0,0
1171,High School,55+,F,Other,Immigration,IV,72,0,0,0
1172,High School,35-44,M,Black,Immigration,II,85,0,1,0
1173,High School,35-44,M,Hispanic,Fraud,II,68,0,1,0
1174,High School,55+,M,Black,Immigration,I,78,0,1,0
1175,High School,55+,M,Black,Immigration,VI,80,0,1,0
1176,High School,35-44,F,Other,Fraud,I,99,0,0,0
1177,High School,35-44,M,White,Fraud,I,39,0,1,0
1178,High School,≤34,M,Other,Firearms,III,76,0,1,0
1179,High School,35-44,M,White,Drug Trafficking,VI,73,0,1,0
1180,Less than HS,≤34,M,Black,Fraud,III,72,0,1,0
1181,Some College,35-44,M,Black,Immigration,I,48,0,0,0
1182,High School,45-54,M,Other,Firearms,II,53,0,1,0
1183,Less than HS,45-54,M,Black,Robbery,V,78,0,0,0
1184,High School,35-44,F,Other,Immigration,II,56,0,1,0
1185,Some College,≤34,M,Black,Fraud,III,74,0,1,0
1186,Less than HS,≤34,M,Hispanic,Fraud,III,59,0,1,0
1187,Some College,35-44,M,White,Immigration,VI,19,0,1,0
1188,Less than HS,≤34,F,Black,Drug Trafficking,VI,53,0,1,0
1189,High School,55+,M,Hispanic,Firearms,III,41,0,1,0
1190,High School,≤34,M,Hispanic,Fraud,VI,77,0,0,0
1191,Undergraduate Degree,55+,M,White,Tax,I,33,0,1,0
1192,Less than HS,≤34,F,Hispanic,Robbery,VI,48,0,1,0
1193,Some College,55+,M,White,Drug Trafficking,I,37,0,1,0
1194,Less than HS,35-44,M,Hispanic,Firearms,II,30,0,1,0
1195,Undergraduate Degree,45-54,F,Black,Fraud,I,50,0,0,0
1196,Some College,55+,M,Hispanic,Fraud,I,62,0,1,0
1197,Some College,35-44,M,White,Fraud,VI,58,0,1,0
1198,Some College,≤34,M,Black,Drug Trafficking,I,51,1,1,0
1199,Undergraduate Degree,45-54,F,White,Sexual Abuse,I,48,1,1,0
1200,High School,35-44,M,White,Firearms,II,65,0,1,0
1201,Less than HS,35-44,F,Black,Firearms,I,77,0,1,0
1202,High School,55+,F,Hispanic,Firearms,IV,73,0,1,0
1203,Less than HS,35-44,M,Other,Drug Trafficking,V,55,0,1,0
1204,High School,35-44,M,White,Drug Trafficking,I,62,0,0,0
1205,High School,35-44,M,White,Drug Trafficking,IV,54,0,1,0
1206,Some College,35-44,M,White,Immigration,I,60,0,1,0
1207,Graduate Degree,55+,F,White,Drug Trafficking,I,47,1,1,0
1208,High School,≤34,M,Black,Firearms,III,77,0,0,0
1209,High School,45-54,M,White,Immigration,III,63,0,0,0
1210,Less than HS,≤34,M,Hispanic,Fraud,V,48,0,0,0
1211,Some College,55+,M,Other,Child Pornography,I,56,0,0,0
1212,Some College,45-54,M,Black,Immigration,I,63,0,1,0
1213,Graduate Degree,55+,F,Black,Child Pornography,I,57,0,1,0
1214,Less than HS,≤34,M,Hispanic,Fraud,IV,42,0,0,0
1215,High School,35-44,M,Black,Fraud,III,65,0,0,0
1216,Undergraduate Degree,≤34,M,Black,Sexual Abuse,I,65,1,0,0
1217,High School,55+,M,Hispanic,Immigration,I,65,0,0,0
1218,Some College,55+,M,Other,Firearms,II,58,0,1,0
1219,Undergraduate Degree,55+,M,Hispanic,Tax,I,58,0,1,0
1220,High School,55+,M,Other,Fraud,II,83,0,1,0
1221,Less than HS,≤34,F,Hispanic,Drug Trafficking,I,62,0,0,0
1222,Less than HS,≤34,M,Black,Immigration,IV,28,0,1,0
1223,Undergraduate Degree,≤34,F,Black,Child Pornography,I,42,0,1,0
1224,High School,55+,M,Black,Firearms,I,90,0,1,0
1225,Less than HS,35-44,M,Black,Robbery,I,49,0,0,0
1226,High School,≤34,M,Other,Immigration,I,92,0,1,0
1227,High School,45-54,M,Black,Firearms,I,59,0,1,0
1228,Less than HS,≤34,F,White,Fraud,I,43,0,0,0
1229,High School,35-44,M,Other,Fraud,IV,66,0,0,0
1230,High School,55+,F,White,Drug Trafficking,II,66,0,0,0
1231,Some College,≤34,M,Black,Drug Trafficking,VI,58,0,1,0
1232,High School,≤34,M,Black,Fraud,I,83,0,0,0
1233,Less than HS,55+,F,Other,Firearms,II,69,0,0,0
1234,Less than HS,≤34,M,Black,Immigration,I,56,0,0,0
1235,Undergraduate Degree,≤34,M,Other,Child Pornography,III,41,0,0,0
1236,High School,45-54,M,Black,Immigration,I,57,0,1,0
1237,Less than HS,55+,M,White,Immigration,I,57,0,0,0
1238,Some College,45-54,F,Black,Firearms,I,67,0,0,0
1239,Less than HS,≤34,M,Hispanic,Drug Trafficking,IV,34,1,0,0
1240,Less than HS,≤34,M,White,Immigration,III,47,0,0,0
1241,Less than HS,≤34,M,Black,Robbery,III,83,1,0,0
1242,High School,55+,F,White,Immigration,VI,58,0,1,0
1243,High School,45-54,F,Hispanic,Fraud,IV,48,0,1,0
1244,Less than HS,≤34,F,Black,Robbery,I,36,0,1,0
1245,Undergraduate Degree,35-44,M,Hispanic,Money Laundering,I,65,0,0,0
1246,High School,35-44,F,Hispanic,Immigration,V,66,0,0,0
1247,High School,35-44,M,White,Firearms,I,74,0,0,0
1248,Some College,≤34,M,White,Drug Trafficking,I,68,1,1,0
1249,High School,≤34,M,Hispanic,Fraud,II,71,0,0,0
1250,High School,45-54,M,Other,Firearms,I,37,0,0,0
1251,High School,35-44,F,Hispanic,Immigration,I,84,0,1,0
1252,High School,≤34,F,Other,Drug Trafficking,IV,73,0,1,0
1253,Undergraduate Degree,45-54,M,Other,Fraud,I,22,0,0,0
1254,High School,55+,M,White,Immigration,IV,75,0,0,0
1255,Some College,55+,M,Hispanic,Immigration,IV,58,0,0,0
1256,High School,≤34,F,Black,Fraud,II,47,0,1,0
1257,Less than HS,≤34,M,Black,Robbery,I,29,0,0,0
1258,Less than HS,≤34,M,Hispanic,Fraud,V,60,0,1,0
1259,Undergraduate Degree,55+,M,Other,Money Laundering,I,53,0,1,1
1260,High School,35-44,M,Black,Immigration,V,85,0,0,0
1261,High School,55+,M,Other,Drug Trafficking,I,87,0,0,0
1262,Undergraduate Degree,55+,F,Black,Money Laundering,I,20,0,0,0
1263,High School,45-54,M,Other,Firearms,V,79,0,1,1
1264,High School,35-44,M,Other,Firearms,I,79,0,0,0
1265,High School,55+,M,Other,Fraud,IV,72,0,1,0
1266,High School,35-44,M,Black,Fraud,I,67,0,0,0
1267,High School,≤34,M,Hispanic,Fraud,VI,71,0,0,0
1268,Less than HS,45-54,M,Hispanic,Robbery,I,39,0,1,0
1269,Some College,55+,M,Hispanic,Firearms,I,30,0,0,0
1270,Some College,55+,F,White,Drug Trafficking,I,67,0,0,0
1271,High School,35-44,M,Other,Firearms,III,66,0,1,0
1272,Less than HS,35-44,F,Hispanic,Drug Trafficking,IV,37,1,1,0
1273,High School,55+,M,Black,Firearms,II,62,0,1,0
1274,Less than HS,35-44,M,Hispanic,Drug Trafficking,IV,58,0,0,0
1275,High School,55+,M,White,Drug Trafficking,III,97,0,1,0
1276,Less than HS,≤34,M,Hispanic,Fraud,I,89,0,1,0
1277,High School,≤34,F,Hispanic,Firearms,II,74,0,0,0
1278,Less than HS,≤34,M,Hispanic,Firearms,III,83,1,1,0
1279,High School,45-54,M,Other,Immigration,I,77,0,0,0
1280,Less than HS,≤34,M,Other,Firearms,V,47,0,1,0
1281,High School,55+,M,White,Fraud,IV,76,0,1,0
1282,High School,45-54,M,Other,Fraud,IV,85,0,0,0
1283,High School,≤34,M,Hispanic,Firearms,I,61,1,0,0
1284,High School,45-54,M,White,Drug Trafficking,I,75,0,0,0
1285,High School,55+,M,Other,Drug Trafficking,V,95,0,1,0
1286,High School,55+,M,Hispanic,Fraud,VI,69,1,1,0
1287,Less than HS,≤34,M,Other,Fraud,I,59,0,1,0
1288,Undergraduate Degree,55+,F,Black,Tax,I,57,1,0,0
1289,Less than HS,35-44,F,Black,Fraud,VI,73,0,1,0
1290,High School,35-44,M,Black,Firearms,VI,81,0,0,0
1291,Some College,55+,M,White,Firearms,I,66,0,1,0
1292,High School,45-54,M,Hispanic,Fraud,I,95,0,0,0
1293,High School,35-44,M,Hispanic,Drug Trafficking,IV,49,0,1,0
1294,Less than HS,≤34,F,Black,Robbery,IV,55,0,1,0
1295,Undergraduate Degree,45-54,M,Hispanic,Drug Trafficking,I,47,0,1,0
1296,Some College,55+,M,Other,Firearms,I,38,0,1,0
1297,High School,≤34,M,Other,Firearms,IV,54,0,0,0
1298,Less than HS,≤34,M,Hispanic,Firearms,IV,40,0,1,0
1299,High School,≤34,M,Black,Fraud,IV,42,0,1,0
1300,Some College,55+,M,White,Drug Trafficking,I,57,0,0,0
1301,High School,45-54,M,Black,Firearms,I,71,1,1,0
1302,Undergraduate Degree,35-44,M,Hispanic,Fraud,I,60,0,0,0
1303,High School,55+,M,Hispanic,Drug Trafficking,VI,66,0,1,0
1304,High School,≤34,F,Black,Firearms,VI,69,0,1,0
1305,High School,45-54,M,Hispanic,Drug Trafficking,IV,75,0,0,0
1306,High School,≤34,M,Other,Drug Trafficking,I,53,0,1,0
1307,Some College,55+,M,Other,Drug Trafficking,III,60,0,1,0
1308,High School,45-54,F,Black,Fraud,III,80,0,0,0
1309,High School,55+,F,White,Drug Trafficking,I,74,0,0,0
1310,High School,45-54,M,Hispanic,Immigration,II,71,0,1,0
1311,High School,45-54,F,Hispanic,Immigration,I,90,0,1,0
1312,Less than HS,≤34,F,White,Drug Trafficking,I,60,0,1,0
1313,Some College,55+,M,White,Fraud,I,55,0,0,0
1314,High School,55+,M,Hispanic,Drug Trafficking,I,52,0,0,0
1315,Some College,35-44,M,Black,Fraud,I,50,0,0,0
1316,Less than HS,≤34,M,Hispanic,Immigration,IV,56,0,1,0
1317,Less than HS,35-44,M,Black,Immigration,VI,85,0,1,0
1318,High School,≤34,M,Black,Fraud,VI,64,0,1,0
1319,High School,35-44,F,Other,Drug Trafficking,IV,69,0,1,0
1320,Less than HS,≤34,F,Hispanic,Drug Trafficking,III,52,0,0,0
1321,Less than HS,45-54,F,Hispanic,Robbery,V,52,0,1,0
1322,High School,≤34,M,Hispanic,Immigration,VI,79,0,0,0
1323,High School,≤34,M,Hispanic,Immigration,I,48,0,1,0
1324,High School,35-44,M,Other,Drug Trafficking,IV,49,0,0,0
1325,Some College,≤34,M,Hispanic,Firearms,II,31,0,1,0
1326,Undergraduate Degree,≤34,M,Black,Tax,I,47,0,0,0
1327,Less than HS,≤34,F,Hispanic,Immigration,I,24,0,1,0
1328,High School,≤34,M,Hispanic,Immigration,I,89,0,1,0
1329,Some College,55+,M,White,Fraud,V,57,0,1,0
1330,High School,55+,M,Hispanic,Firearms,VI,68,0,1,0
1331,Undergraduate Degree,45-54,M,Black,Child Pornography,I,38,0,0,0
1332,High School,45-54,M,Black,Immigration,V,56,0,1,0
1333,High School,≤34,M,Other,Fraud,I,75,0,1,0
1334,Less than HS,≤34,M,Black,Firearms,I,68,0,1,0
1335,High School,≤34,F,Other,Drug Trafficking,I,92,0,1,0
1336,Undergraduate Degree,35-44,F,White,Sexual Abuse,I,36,0,0,0
1337,High School,45-54,M,Other,Fraud,I,64,0,0,1
1338,High School,55+,M,Black,Fraud,IV,77,0,0,0
1339,Less than HS,55+,M,Hispanic,Firearms,V,58,0,0,0
1340,Undergraduate Degree,≤34,M,Hispanic,Money Laundering,I,24,0,0,0
1341,Undergraduate Degree,35-44,M,Hispanic,Money Laundering,I,51,0,0,0
1342,High School,45-54,F,Hispanic,Fraud,VI,63,0,0,0
1343,High School,55+,M,Black,Immigration,I,64,0,1,0
1344,High School,45-54,M,Black,Fraud,V,71,1,0,0
1345,Some College,45-54,F,Other,Drug Trafficking,I,74,0,0,0
1346,High School,≤34,M,Black,Immigration,I,90,0,0,0
1347,High School,55+,M,Other,Firearms,I,96,0,1,0
1348,Undergraduate Degree,35-44,M,Hispanic,Tax,I,41,0,0,0
1349,Less than HS,35-44,M,Other,Fraud,V,73,0,1,0
1350,Some College,35-44,M,Hispanic,Immigration,I,45,0,1,0
1351,High School,55+,M,Other,Drug Trafficking,I,87,0,1,0
1352,Undergraduate Degree,45-54,F,Hispanic,Tax,I,60,0,0,0
1353,High School,35-44,M,Black,Firearms,I,82,0,0,0
1354,High School,≤34,M,Hispanic,Immigration,I,85,0,0,0
1355,High School,45-54,M,Other,Fraud,V,65,0,1,0
1356,High School,45-54,M,White,Drug Trafficking,III,65,0,1,0
1357,High School,45-54,M,Hispanic,Drug Trafficking,VI,81,0,1,0
1358,Less than HS,≤34,F,Black,Fraud,II,67,0,0,0
1359,Some College,≤34,M,Hispanic,Child Pornography,II,17,0,1,0
1360,High School,≤34,M,Hispanic,Fraud,IV,69,0,0,0
1361,Less than HS,≤34,M,White,Firearms,I,66,0,1,0
1362,Less than HS,≤34,M,Hispanic,Firearms,I,70,0,1,0
1363,Some College,≤34,M,Black,Drug Trafficking,I,71,0,1,1
1364,High School,35-44,M,Hispanic,Fraud,I,57,0,0,0
1365,Some College,55+,M,Hispanic,Fraud,I,43,0,1,0
1366,Some College,45-54,F,Black,Drug Trafficking,I,46,0,0,0
1367,High School,35-44,M,Other,Firearms,I,73,0,1,0
1368,High School,≤34,M,Black,Fraud,I,50,0,1,0
1369,Some College,55+,M,Other,Firearms,III,34,0,1,0
1370,Less than HS,55+,M,Black,Fraud,II,56,0,1,0
1371,High School,35-44,M,Black,Firearms,V,74,0,1,0
1372,Less than HS,≤34,F,Black,Firearms,II,42,0,0,0
1373,High School,35-44,F,Hispanic,Fraud,I,71,0,1,0
1374,Some College,≤34,M,White,Immigration,VI,48,0,1,0
1375,Some College,55+,M,Hispanic,Immigration,II,51,0,1,0
1376,High School,45-54,F,Black,Immigration,I,25,0,0,0
1377,High School,≤34,M,Black,Immigration,I,51,0,0,0
1378,Some College,55+,M,White,Fraud,III,55,0,0,0
1379,High School,≤34,M,Black,Firearms,III,43,0,0,0
1380,High School,≤34,M,Hispanic,Fraud,II,36,0,0,0
1381,Some College,55+,F,Black,Child Pornography,V,42,0,1,0
1382,Undergraduate Degree,55+,M,Other,Sexual Abuse,I,10,0,0,0
1383,Less than HS,35-44,M,Hispanic,Drug Trafficking,VI,63,0,0,0
1384,High School,35-44,M,Black,Drug Trafficking,II,60,0,1,0
1385,Less than HS,≤34,M,Black,Drug Trafficking,III,59,0,1,0
1386,High School,35-44,M,Black,Drug Trafficking,V,70,0,1,0
1387,Less than HS,35-44,M,Black,Drug Trafficking,I,74,0,0,0
1388,Some College,≤34,M,Other,Firearms,V,39,0,1,0
1389,Less than HS,45-54,M,Black,Immigration,IV,84,0,1,0
1390,Less than HS,≤34,M,Hispanic,Drug Trafficking,III,60,0,0,0
1391,Less than HS,≤34,F,Hispanic,Fraud,IV,38,0,0,0
1392,Less than HS,≤34,M,White,Immigration,V,72,0,1,0
1393,Less than HS,45-54,M,Hispanic,Firearms,V,39,0,0,0
1394,Some College,45-54,M,Black,Fraud,I,46,0,1,0
1395,High School,35-44,M,White,Immigration,IV,63,0,0,0
1396,Undergraduate Degree,45-54,M,Other,Tax,I,55,0,1,0
1397,High School,35-44,M,Other,Fraud,II,64,0,0,0
1398,Less than HS,45-54,M,Black,Immigration,IV,32,0,1,0
1399,Undergraduate Degree,35-44,M,Black,Money Laundering,I,32,0,0,0
1400,High School,35-44,M,Hispanic,Immigration,I,56,1,0,0
1401,Less than HS,45-54,M,Hispanic,Fraud,IV,42,0,1,0
1402,Graduate Degree,55+,M,Hispanic,Fraud,I,25,0,1,0
1403,Some College,55+,M,Hispanic,Fraud,V,68,0,0,0
1404,High School,≤34,M,White,Fraud,IV,86,0,1,0
1405,High School,45-54,M,Black,Immigration,VI,73,0,1,0
1406,Less than HS,35-44,M,Hispanic,Firearms,IV,56,0,1,0
1407,Some College,≤34,F,Hispanic,Drug Trafficking,I,19,0,1,0
1408,Undergraduate Degree,55+,F,Hispanic,Drug Trafficking,I,58,0,1,1
1409,High School,55+,M,White,Drug Trafficking,I,58,0,1,0
1410,High School,45-54,M,Hispanic,Immigration,I,75,0,1,0
1411,Some College,35-44,M,Hispanic,Drug Trafficking,IV,56,0,1,0
1412,High School,45-54,M,Hispanic,Firearms,I,60,0,0,0
1413,Less than HS,≤34,M,Black,Drug Trafficking,VI,31,0,1,0
1414,Less than HS,≤34,F,Hispanic,Fraud,VI,60,0,1,0
1415,Graduate Degree,55+,M,White,Drug Trafficking,I,58,0,1,0
1416,Less than HS,≤34,M,Hispanic,Drug Trafficking,II,66,0,1,0
1417,Some College,55+,M,White,Child Pornography,I,69,0,0,0
1418,Undergraduate Degree,≤34,F,Other,Child Pornography,I,48,0,1,0
1419,High School,35-44,M,White,Drug Trafficking,VI,72,0,1,0
1420,Undergraduate Degree,35-44,M,White,Money Laundering,I,29,0,1,0
1421,High School,55+,M,Black,Immigration,IV,31,0,1,0
1422,Less than HS,≤34,M,Hispanic,Robbery,I,38,0,1,0
1423,Less than HS,≤34,F,White,Robbery,II,96,0,1,0
1424,Less than HS,35-44,M,White,Robbery,II,66,0,1,0
1425,Some College,55+,M,Other,Firearms,I,53,0,1,0
1426,Undergraduate Degree,≤34,M,Black,Money Laundering,I,27,0,0,0
1427,Some College,45-54,M,White,Immigration,III,60,0,0,0
1428,Less than HS,≤34,M,Black,Immigration,V,27,0,0,0
1429,Some College,55+,M,Black,Drug Trafficking,I,66,0,1,0
1430,High School,≤34,F,Hispanic,Immigration,I,79,0,1,0
1431,High School,55+,M,Other,Firearms,I,61,0,1,0
1432,Undergraduate Degree,45-54,M,Black,Tax,I,52,0,0,0
1433,Less than HS,≤34,M,Hispanic,Fraud,I,28,0,1,0
1434,High School,45-54,M,Other,Drug Trafficking,I,84,0,0,0
1435,Undergraduate Degree,≤34,M,White,Drug Trafficking,III,58,0,0,0
1436,Some College,≤34,F,Black,Drug Trafficking,II,51,0,1,0
1437,High School,≤34,M,Other,Immigration,III,69,0,1,0
1438,Undergraduate Degree,≤34,M,Black,Money Laundering,I,67,1,0,0
1439,High School,≤34,M,Other,Fraud,II,81,0,0,0
1440,Less than HS,≤34,M,White,Immigration,VI,62,0,1,0
1441,Undergraduate Degree,35-44,F,Hispanic,Drug Trafficking,I,65,0,0,0
1442,Undergraduate Degree,≤34,M,White,Drug Trafficking,I,18,0,0,0
1443,High School,35-44,M,White,Drug Trafficking,I,74,0,0,0
1444,Less than HS,≤34,M,Hispanic,Firearms,I,34,0,1,0
1445,Some College,35-44,M,White,Drug Trafficking,I,55,0,1,0
1446,Less than HS,≤34,M,White,Drug Trafficking,VI,39,0,1,0
1447,High School,≤34,M,White,Immigration,III,68,0,0,0
1448,Undergraduate Degree,≤34,M,White,Money Laundering,I,51,0,0,0
1449,Less than HS,35-44,M,Black,Robbery,V,85,0,0,0
1450,Less than HS,35-44,M,White,Drug Trafficking,I,41,0,1,0
1451,Less than HS,≤34,M,Hispanic,Drug Trafficking,III,70,0,1,0
1452,High School,≤34,M,Black,Fraud,I,81,0,1,0
1453,Less than HS,45-54,F,Hispanic,Firearms,I,37,0,1,0
1454,Some College,35-44,M,Hispanic,Immigration,II,72,0,1,0
1455,Some College,≤34,M,Other,Child Pornography,V,55,0,1,0
1456,High School,≤34,M,Other,Drug Trafficking,IV,95,0,1,0
1457,Some College,45-54,M,Hispanic,Firearms,IV,65,0,0,0
1458,High School,≤34,M,Black,Drug Trafficking,I,86,0,0,0
1459,High School,45-54,M,Black,Fraud,I,87,1,0,0
1460,Undergraduate Degree,≤34,M,Black,Tax,I,45,0,1,0
1461,High School,≤34,M,Other,Fraud,IV,79,0,1,0
1462,Some College,45-54,M,Black,Child Pornography,I,63,0,1,0
1463,Less than HS,55+,F,Hispanic,Immigration,IV,57,0,0,0
1464,High School,45-54,M,Hispanic,Firearms,II,51,0,0,0
1465,High School,55+,F,White,Fraud,I,69,0,0,0
1466,Some College,55+,M,Other,Child Pornography,I,23,0,1,0
1467,Less than HS,45-54,M,Hispanic,Immigration,I,68,0,0,0
1468,Less than HS,45-54,M,Hispanic,Immigration,I,45,0,1,0
1469,High School,≤34,M,White,Drug Trafficking,II,59,0,1,0
1470,High School,55+,M,Hispanic,Drug Trafficking,I,59,0,0,0
1471,High School,≤34,M,Other,Fraud,III,70,0,0,0
1472,High School,≤34,F,Other,Firearms,VI,45,0,0,0
1473,Undergraduate Degree,45-54,M,White,Fraud,I,66,0,1,0
1474,Undergraduate Degree,55+,M,Other,Money Laundering,VI,39,0,0,0
1475,High School,55+,M,Hispanic,Fraud,III,56,0,0,0
1476,High School,35-44,M,Other,Immigration,IV,52,0,0,0
1477,Less than HS,≤34,M,Black,Firearms,IV,62,0,1,0
1478,Some College,≤34,M,Other,Fraud,I,26,0,0,0
1479,Undergraduate Degree,45-54,M,White,Child Pornography,I,56,0,0,0
1480,High School,≤34,M,Hispanic,Fraud,VI,68,0,0,0
1481,Some College,≤34,M,Hispanic,Firearms,V,51,0,0,0
1482,Some College,55+,M,White,Drug Trafficking,III,84,0,1,0
1483,Less than HS,35-44,M,Black,Robbery,I,38,1,1,0
1484,Some College,45-54,F,White,Drug Trafficking,VI,81,0,0,0
1485,Less than HS,≤34,M,Black,Firearms,V,73,1,1,0
1486,High School,45-54,M,Black,Fraud,III,46,0,1,0
1487,High School,45-54,F,Hispanic,Immigration,II,75,0,1,0
1488,Less than HS,35-44,M,Other,Firearms,I,54,0,0,0
1489,Some College,≤34,M,Hispanic,Drug Trafficking,III,64,0,1,0
1490,Less than HS,≤34,M,Hispanic,Firearms,I,98,0,0,0
1491,Some College,≤34,M,Other,Immigration,III,52,0,0,0
1492,High School,55+,M,Black,Immigration,I,62,1,1,0
1493,Undergraduate Degree,45-54,M,Hispanic,Fraud,I,40,0,1,0
1494,High School,≤34,M,White,Firearms,V,62,0,1,0
1495,High School,≤34,M,Other,Firearms,VI,73,1,1,0
1496,Less than HS,35-44,M,Hispanic,Drug Trafficking,III,55,0,1,0
1497,High School,55+,M,Other,Drug Trafficking,II,61,0,1,0
1498,High School,≤34,M,Other,Firearms,III,77,0,1,0
1499,Graduate Degree,55+,M,White,Money Laundering,I,26,0,1,0
1500,Less than HS,≤34,F,Black,Immigration,VI,74,0,1,0
1501,Less than HS,≤34,F,Hispanic,Fraud,V,72,0,1,0
1502,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,74,0,0,0
1503,High School,45-54,M,Other,Immigration,I,86,0,1,0
1504,Undergraduate Degree,≤34,M,Black,Sexual Abuse,V,43,0,1,0
1505,High School,55+,M,White,Fraud,II,53,0,1,0
1506,High School,≤34,M,Black,Firearms,II,59,0,0,0
1507,High School,35-44,M,White,Drug Trafficking,VI,70,0,1,0
1508,High School,55+,M,Black,Immigration,I,87,0,1,0
1509,High School,45-54,M,White,Fraud,I,50,0,0,0
1510,High School,55+,M,White,Drug Trafficking,I,69,0,1,0
1511,Some College,≤34,M,Black,Firearms,I,41,0,1,0
1512,Some College,45-54,M,Hispanic,Firearms,I,54,0,0,0
1513,High School,35-44,F,Hispanic,Fraud,I,68,0,0,0
1514,High School,≤34,M,Other,Fraud,IV,63,1,1,0
1515,High School,35-44,M,White,Immigration,VI,55,0,1,0
1516,Some College,35-44,F,Hispanic,Fraud,III,53,0,1,0
1517,High School,45-54,M,White,Immigration,III,65,0,0,0
1518,Less than HS,45-54,M,Hispanic,Immigration,I,41,0,1,0
1519,High School,55+,M,Other,Firearms,I,75,0,1,0
1520,Less than HS,≤34,M,Other,Immigration,VI,64,0,1,0
1521,Undergraduate Degree,45-54,M,Black,Fraud,I,61,0,0,0
1522,High School,45-54,M,Other,Firearms,II,67,0,0,0
1523,High School,45-54,M,Black,Fraud,VI,54,0,0,0
